Comuna,Año,Población
1,2010,205886.0
2,2010,157932.0
3,2010,187537.0
4,2010,218245.0
5,2010,179005.0
6,2010,176076.0
7,2010,220591.0
8,2010,187237.0
9,2010,161797.0
10,2010,166022.0
11,2010,189832.0
12,2010,200116.0
13,2010,231331.0
14,2010,225970.0
15,2010,182574.0
1,2011,207358.0
2,2011,158241.0
3,2011,188262.0
4,2011,219161.0
5,2011,180277.0
6,2011,178323.0
7,2011,220200.0
8,2011,188664.0
9,2011,162402.0
10,2011,166604.0
11,2011,191063.0
12,2011,203180.0
13,2011,234086.0
14,2011,227859.0
15,2011,183766.0
1,2012,208831.0
2,2012,158551.0
3,2012,188988.0
4,2012,220078.0
5,2012,181549.0
6,2012,180570.0
7,2012,219808.0
8,2012,190092.0
9,2012,163008.0
10,2012,167186.0
11,2012,192294.0
12,2012,206244.0
13,2012,236840.0
14,2012,229748.0
15,2012,184958.0
1,2013,210303.0
2,2013,158860.0
3,2013,189713.0
4,2013,220994.0
5,2013,182821.0
6,2013,182818.0
7,2013,219417.0
8,2013,191520.0
9,2013,163614.0
10,2013,167768.0
11,2013,193524.0
12,2013,209309.0
13,2013,239594.0
14,2013,231636.0
15,2013,186150.0
1,2014,211775.0
2,2014,159170.0
3,2014,190438.0
4,2014,221910.0
5,2014,184094.0
6,2014,185065.0
7,2014,219026.0
8,2014,192947.0
9,2014,164219.0
10,2014,168349.0
11,2014,194755.0
12,2014,212373.0
13,2014,242349.0
14,2014,233525.0
15,2014,187341.0
1,2015,213248.0
2,2015,159479.0
3,2015,191163.0
4,2015,222826.0
5,2015,185366.0
6,2015,187312.0
7,2015,218635.0
8,2015,194374.0
9,2015,164824.0
10,2015,168931.0
11,2015,195986.0
12,2015,215437.0
13,2015,245104.0
14,2015,235414.0
15,2015,188533.0
1,2016,214720.0
2,2016,159788.0
3,2016,191888.0
4,2016,223742.0
5,2016,186638.0
6,2016,189560.0
7,2016,218244.0
8,2016,195802.0
9,2016,165430.0
10,2016,169513.0
11,2016,197216.0
12,2016,218502.0
13,2016,247858.0
14,2016,237302.0
15,2016,189725.0
1,2017,216192.0
2,2017,160098.0
3,2017,192614.0
4,2017,224659.0
5,2017,187910.0
6,2017,191807.0
7,2017,217852.0
8,2017,197230.0
9,2017,166036.0
10,2017,170095.0
11,2017,198447.0
12,2017,221566.0
13,2017,250612.0
14,2017,239191.0
15,2017,190917.0
1,2018,217665.0
2,2018,160407.0
3,2018,193339.0
4,2018,225575.0
5,2018,189182.0
6,2018,194054.0
7,2018,217461.0
8,2018,198657.0
9,2018,166641.0
10,2018,170677.0
11,2018,199678.0
12,2018,224630.0
13,2018,253367.0
14,2018,241080.0
15,2018,192109.0
1,2019,219137.0
2,2019,160717.0
3,2019,194064.0
4,2019,226491.0
5,2019,190454.0
6,2019,196301.0
7,2019,217070.0
8,2019,200084.0
9,2019,167246.0
10,2019,171259.0
11,2019,200909.0
12,2019,227694.0
13,2019,256122.0
14,2019,242969.0
15,2019,193301.0
1,2020,220609.0
2,2020,161026.0
3,2020,194790.0
4,2020,227408.0
5,2020,191727.0
6,2020,198548.0
7,2020,216678.0
8,2020,201512.0
9,2020,167852.0
10,2020,171840.0
11,2020,202140.0
12,2020,230758.0
13,2020,258876.0
14,2020,244858.0
15,2020,194492.0
1,2021,222082.0
2,2021,161336.0
3,2021,195515.0
4,2021,228324.0
5,2021,192999.0
6,2021,200796.0
7,2021,216287.0
8,2021,202940.0
9,2021,168458.0
10,2021,172422.0
11,2021,203370.0
12,2021,233823.0
13,2021,261630.0
14,2021,246746.0
15,2021,195684.0
1,2022,223554.0
2,2022,161645.0
3,2022,196240.0
4,2022,229240.0
5,2022,194271.0
6,2022,203043.0
7,2022,215896.0
8,2022,204367.0
9,2022,169063.0
10,2022,173004.0
11,2022,204601.0
12,2022,236887.0
13,2022,264385.0
14,2022,248635.0
15,2022,196876.0
